,Reactant1,Reactant2,Solvents,Solvent1,Solvent2,Solvent3,Solvent4,Reagents,Reagent1,Reagent2,Reagent3,Reagent4,Reagent5,Yield,ee,ddG
0,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCN(C=O)CC,CCN(C=O)CC,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,41,91,2.0243787135020113
1,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)N(C=O)C(C)C,CC(C)N(C=O)C(C)C,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,54,96,2.5788511156820513
2,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N(C)C,CC(=O)N(C)C,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,59,94,2.3033803880110026
3,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCC(=O)N(C)C,CCC(=O)N(C)C,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,45,93,2.1978104490192543
4,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN1CCCC1=O,CN1CCCC1=O,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,77,95,2.4275994137382395
5,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CS(C)=O,CS(C)=O,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,18,95,2.4275994137382395
6,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC#N,CC#N,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,29,82,1.5330925654909142
7,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,COC(=O)OC,COC(=O)OC,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,21,54,0.8006678679358732
8,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC1CCCO1,CC1CCCO1,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,18,45,0.6423575504882955
9,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,ClCCCl,ClCCCl,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,13,29,0.39568015393473743
