Unnamed: 0,Reactant1,Reactant2,Solvents,Solvent1,Solvent2,Reagents,Reagent1,Reagent2,Reagent3,Reagent4,Reagent5,ddG,ee,index,temperature
0,O=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,2.7336677407754446,0.96,0,80
1,Cc1ccc(C(=O)C(=O)c2ccc(C)cc2)cc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.Cc1ccc(C(=O)C(=O)c2ccc(C)cc2)cc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.2276749533908613,0.98,1,80
2,O=C(C(=O)c1ccccc1)c1ccccc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C(C(=O)c1ccccc1)c1ccccc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,2.7336677407754446,0.96,2,80
3,O=C(C(=O)c1ccccc1)c1ccccc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C(C(=O)c1ccccc1)c1ccccc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@H](Cc1ccccc1)C(=O)O,3.2276749533908613,0.98,3,80
4,Cc1cccc(C(=O)C(=O)c2cccc(C)c2)c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.Cc1cccc(C(=O)C(=O)c2cccc(C)c2)c1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,2.939314190225472,0.97,4,80
5,COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,2.32975160815787,0.93,5,80
6,Cc1ccc(C(=O)C(=O)c2ccc(C)c(C)c2)cc1C,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.Cc1ccc(C(=O)C(=O)c2ccc(C)c(C)c2)cc1C.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.9975603115955327,0.89,6,80
7,COc1cccc(C(=O)C(=O)c2cccc(OC)c2)c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.COc1cccc(C(=O)C(=O)c2cccc(OC)c2)c1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,2.1459080455833406,0.91,7,80
8,O=C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.8169259302134253,0.86,8,80
9,O=C(C(=O)c1ccc(F)cc1)c1ccc(F)cc1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C1CCOC1,C1CCOC1,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(C)(C)OO.CCCC[N+](CCCC)(CCCC)CCCC.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C(C(=O)c1ccc(F)cc1)c1ccc(F)cc1.O=C([O-])[O-].[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(C)(C)OO,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.9975603115955327,0.89,9,80
