smiles_pair,index
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CC1)C(=O)O',1
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',2
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O',3
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O',4
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CC1',5
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](NC(=O)OC(C)(C)C)C(=O)O',6
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',7
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O',8
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1',9
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(=O)OC(C)(C)C)cc1)C(=O)O',10
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O',11
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(c1ccccc1)c1ccccc1',12
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',13
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',14
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CCCCC1',15
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1',16
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1',17
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O',18
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN1C[C@@H](C(=O)O)NC1=O',19
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@@H](OCc1ccccc1)[C@H](NC(=O)OC(C)(C)C)C(=O)O',20
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1',21
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C1CC[C@@H](C(=O)O)N1',22
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',23
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21',24
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)O',25
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O',26
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O',27
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O',28
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)O',29
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C1N[C@H](C(=O)O)CS1',30
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',31
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C',32
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C1N[C@H](C(=O)O)CO1',33
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@H](NC(=O)OC(C)(C)C)C(=O)O',34
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1c2ccccc2cc2ccccc12)C(=O)O',35
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CO[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',36
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CCCC1)C(=O)O',37
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',38
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(F)c(F)c1)C(=O)O',39
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cn(C(=O)OC(C)(C)C)cn1)C(=O)O',40
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCc1ccccc1',41
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O',42
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@@H](CC(C)C)C(=O)O',43
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CCc1ccncc1)C(=O)O',44
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',45
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccsc1)C(=O)O',46
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@H](O)[C@H](NC(=O)OC(C)(C)C)C(=O)O',47
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cscn1)C(=O)O',48
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)O',49
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@H](Cc1ccccc1)C(=O)O',50
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(O)[C@H](Cc1ccccc1)NC(=O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28',51
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)C(=O)O',52
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O',53
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O',54
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)Oc1ccccc1',55
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@H](OCc1ccccc1)[C@H](NC(=O)OC(C)(C)C)C(=O)O',56
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](C)[C@H](NC(C)=O)C(=O)O',57
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3',58
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccc(C2(C(F)(F)F)N=N2)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21',59
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O',60
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1C(F)(F)F)C(=O)O',61
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)O',62
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',63
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O',64
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O',65
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccc(CSC[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1',66
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O',67
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C#N)cc1)C(=O)O',68
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O',69
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CCc1ccc(F)cc1)C(=O)O',70
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC(F)(F)F)C(=O)O',71
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCOC[C@H](NC(=O)OC(C)(C)C)C(=O)O',72
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O',73
