smiles_pair,index
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',0
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](NC(=O)OC(C)(C)C)C(=O)O',1
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@H](C(=O)O)C(C)(C)C',2
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C[C@H](NC(=O)OC(C)(C)C)C(=O)O',3
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',4
'CCC12C3C4C5C1[Fe]45321678C2C1C6C7(CN(C)C)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',5
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O',6
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(Br)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',7
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@H](C(=O)O)C(C)C',8
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O',9
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',10
'CCN(CC)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',11
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(C(O)(c1ccccc1)c1ccccc1)C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',12
'C1CN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)CCO1,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',13
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7([Si](C)(C)C)C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',14
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(P(=O)(c1ccccc1)c1ccccc1)C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',15
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,O=C(N[C@@H](Cc1ccccc1)C(=O)O)Oc1ccccc1',16
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',17
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',18
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',19
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(C)=O)C(=O)O',20
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(C=O)C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',21
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)O',22
