Reactant1,Reactant2,Ligand,Reagents,Solvents,Predict_ddG,Predict_ee
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CN(C)C=O,2.4163990049978183,0.9491693208749239
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CN(C)C=O,2.39594002666786,0.9476171782589279
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CN(C)C=O,2.2785541603735027,0.9377806639376979
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CN(C)C=O,2.2434887640303507,0.9345101703088851
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Na+].[Na+],CN(C)C=O,2.1953972610964487,0.9297535819561832
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@H](OCc1ccccc1)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.C[C@H](OCc1ccccc1)[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CN(C)C=O,2.1495768090677148,0.9249130493289616
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccn(COCc2ccccc2)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Li+].[Li+],CN(C)C=O,2.0705022436387606,0.9157967659015471
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Cs+].[Cs+],CN(C)C=O,2.0564000950681427,0.9140633757060371
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Li+].[Li+],CN(C)C=O,2.0389639404519655,0.9118730388416012
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CN(C)C=O,2.0290925569257645,0.9106094839937141
